feature,mean_abs_shap
search_std_7d,0.24462487072829875
search_acceleration,0.18279980775102636
click_ma_7d,0.14662356140386032
search_growth_14d,0.10132809868293796
search_slope_14d,0.08784979905624592
search_ma_7d,0.06358564249809916
search_growth_7d,0.05925995047491047
mention_search_ratio,0.05382324658574885
click_growth_14d,0.04960545576603525
mention_growth_7d,0.04595346311108746
click_std_7d,0.03832257959995318
engagement_force,0.03632328728534865
search_slope_7d,0.03607603005100537
age50p_click_ratio,0.031778839370871205
mention_growth_14d,0.030607581263357254
click_lead_signal_7d,0.0301357924352948
click_search_ratio,0.02748433611240847
click_growth_7d,0.02746659947095639
lead_signal_7d,0.02710489603863003
click_growth_3d,0.021802286097359132
search_pos_14d,0.020247450611611754
viral_force,0.019853498257385967
gender_click_skew,0.017987779242251402
male_click_ratio,0.017959196980365123
click_slope_7d,0.017805574826108225
mid_click_ratio,0.01642602620134633
mention_ma_3d,0.015061803617369286
mention_ma_7d,0.013107005130389421
search_growth_3d,0.012893127642643831
days_since_max_14d,0.011128923284649105
peak_gap,0.008774587545906312
age10_click_ratio,0.00864300688374734
click_slope_14d,0.00830715033403822
mention_std_7d,0.007710669869340997
mention_acceleration,0.007604555567755623
young_click_ratio,0.00760126370463232
female_click_ratio,0.007445456001775025
click_pos_14d,0.005739240146447713
click_acceleration,0.0055234534228847856
mention_pos_14d,0.005478157245163989
days_since_click_max_14d,0.004828145050274931
click_peak_gap,0.004518161296617954
days_since_mention_max_14d,0.003934625818599485
age_click_entropy,0.0036905496248554027
age20_click_ratio,0.0031207973570670784
age30_click_ratio,0.0024266445482636996
mention_growth_3d,0.0016694168291420406
gender_click_shift_7d,0.0008339520959268508
core_age_click_ratio,0.0007653101628498369
age40_click_ratio,0.0006874169017399396
age_click_shift_7d,0.00027628324330775995
